"","Year","section","plot","Crop","Yield.t.ha","Yield.tDM.ha","Straw.t.ha","Straw.tDM.ha","N.offtake.kg.ha","P.offtake.kg.ha","K.offtake.kg.ha","Grain.N.offtake.kg.ha","Grain.P.offtake.kg.ha","Grain.K.offtake.kg.ha","Straw.N.offtake.kg.ha","Straw.P.offtake.kg.ha","Straw.K.offtake.kg.ha","Trt","Treatment","N.rate.kg.ha","P.rate.kg.ha","K.rate.kg.ha","FYM.tFM.ha","FYMN.rate.kg.ha","FYMP.rate.kg.ha","FYMK.rate.kg.ha"
"112",1998,7,13,"oats",2.12,1.8174548,0.83,0.5703428,25.872752588,7.322542556,19.702417772,24.481116156,6.124822676,9.105448548,1.391636432,1.19771988,10.596969224,"NPK","N2 PK",96,35,90,0,0,0,0
"113",2003,7,13,"oats",3.34,2.9826868,0.82,0.7518662,37.634894612,10.720567654,24.200135208,36.627393904,10.081481384,13.86949362,1.007500708,0.63908627,10.330641588,"NPK","N4 PK",192,35,90,0,0,0,0
"114",2008,7,13,"oats",2.85,2.3886135,0.55,0.3539085,36.07345314,7.701974235,14.433098805,35.3514798,7.50024639,9.41113719,0.72197334,0.201727845,5.021961615,"NPK","N4 PK",192,35,90,0,0,0,0
"115",2013,7,13,"oats",1.78,1.513,0.38,0.3250938,27.472656424,5.369762544,8.735797204,26.34133,5.08368,6.59668,1.131326424,0.286082544,2.139117204,"NPK","N4 PK",192,35,90,0,0,0,0
"116",1997,2,14,"oats",1.86,1.6201716,0.71,0.5953563,26.041014396,7.279333569,15.718970421,24.302574,5.83261776,7.485192792,1.738440396,1.446715809,8.233777629,"N4PKMg","N2 PKMg*",96,35,90,0,0,0,0
"117",2002,2,14,"oats",4.14,3.5564256,1.65,1.261722,40.969657932,10.280211396,27.652638888,39.013988832,9.460092096,13.798931328,1.9556691,0.8201193,13.85370756,"N4PKMg","N4 PK*(Mg*)",192,35,90,0,0,0,0
"118",2007,2,14,"oats",3.32,2.9014144,1.57,1.3553025,35.8058101,9.657360239,31.467545342,33.3662656,8.152974464,10.677204992,2.4395445,1.504385775,20.79034035,"N4PKMg","N4 PK*(Mg*)",192,35,90,0,0,0,0
"119",2012,2,14,"oats",3.29,2.8596022,0.86,0.691698,39.445541814,10.40278799,27.473842228,37.660960974,9.57966737,13.840474648,1.78458084,0.82312062,13.63336758,"N4PKMg","N4 PK*(Mg*)",192,35,90,0,0,0,0
"120",2017,2,14,"oats",4.19,3.6271573,2,1.7588,45.870804793,11.674086305,20.898786393,41.385864793,10.337398305,12.368606393,4.48494,1.336688,8.53018,"N4PKMg","N4 PK*(Mg*)",192,35,90,0,0,0,0
"121",1996,3,14,"oats",2.93,2.6132377,0.95,0.5510665,33.018846318,8.134620241,23.488103836,32.247353218,7.787448346,13.144585631,0.7714931,0.347171895,10.343518205,"N4PKMg","N2 PKMg*",96,35,90,0,0,0,0
"122",2001,3,14,"oats",2.19,1.88559,0.92,0.6451316,30.931784616,8.168184268,18.331971948,29.1512214,7.0521066,7.1840979,1.780563216,1.116077668,11.147874048,"N4PKMg","N2 PKMg*",96,35,90,0,0,0,0
"123",2006,3,14,"oats",3.04,2.755456,0.74,0.6109958,32.585907826,8.687835604,22.175238024,31.687744,8.21125888,13.69461632,0.898163826,0.476576724,8.480621704,"N4PKMg","N4 PK*(Mg*)",192,35,90,0,0,0,0
"124",2011,3,14,"oats",5.4,4.747626,1.8,1.270728,57.29569938,13.68127692,32.99744736,54.3603177,13.19840028,18.0409788,2.93538168,0.48287664,14.95646856,"N4PKMg","N4 PK*(Mg*)",192,35,90,0,0,0,0
"125",2016,3,14,"oats",1.85,1.6067065,0.81,0.5913324,24.749434954,6.709502562,14.426578259,22.52602513,5.30213145,7.117709795,2.223409824,1.407371112,7.308868464,"N4PKMg","N4 PK*(Mg*)",192,35,90,0,0,0,0
"126",1999,4,14,"oats",0.93,0.7628883,0.33,0.2706891,12.152290185,2.840878848,7.800997224,11.573015511,2.456500326,4.707020811,0.579274674,0.384378522,3.093976413,"N4PKMg","N2 PKMg*",96,35,90,0,0,0,0
"127",2004,4,14,"oats",4.43,3.781891,1.37,1.249029,45.59564471,12.17003214,17.0461178,42.7353683,11.345673,11.87513774,2.86027641,0.82435914,5.17098006,"N4PKMg","N4 PK*(Mg*)",192,35,90,0,0,0,0
"128",2009,4,14,"oats",2.92,2.4827008,0.84,0.6778716,35.12047408,8.949840976,14.66082278,33.76473088,8.217739648,9.285300992,1.3557432,0.732101328,5.375521788,"N4PKMg","N4 PK*(Mg*)",192,35,90,0,0,0,0
"129",2014,4,14,"oats",2.65,2.3333515,1.01,0.7599038,35.451566019,9.202881423,24.924307381,34.136932445,8.283397825,11.876759135,1.314633574,0.919483598,13.047548246,"N4PKMg","N4 PK*(Mg*)",192,35,90,0,0,0,0
"130",2018,4,14,"oats",3.97,3.4712092,1.06,0.550988,NA,NA,NA,NA,NA,NA,NA,NA,NA,"N4PKMg","N4 PK*(Mg*)",96,35,90,0,0,0,0
"131",2000,5,14,"oats",2.17,1.8897011,0.92,0.7855604,26.400962677,7.447696258,21.996913735,25.151921641,6.387189718,10.072106863,1.249041036,1.06050654,11.924806872,"N4PKMg","N2 PKMg*",96,35,90,0,0,0,0
"132",2005,5,14,"oats",5.78,5.104318,1.25,1.15205,63.0339637,15.31934656,35.0420812,60.7413842,14.90460856,21.1829197,2.2925795,0.414738,13.8591615,"N4PKMg","N4 PK*(Mg*)",192,35,90,0,0,0,0
