"","FARMCODE","SEASON_NR","Control_Y_FM","PK_Y_FM","NPK_Y_FM","Control_NS","PK_NS","NPK_NS","Nrec"
"718","F19",6,2.44208711433757,2.65313664596273,4.94431677018633,36.4701947723913,35.4258789674625,66.1920392349793,0.205107735116778
"818","F19",7,2.23670210007778,2.4997049689441,4.87933229813664,33.8234806711054,33.6663413869736,65.3877759670376,0.21147623053376
"918","F19",8,2.03131708581799,2.34627329192547,4.81434782608695,31.1767665698195,31.9068038064847,64.5835126990959,0.217844725950741
"119","F20",0,1.40011148561058,2.97944099378882,4.2970807453416,23.0426737836415,39.1679013049177,58.1816923928416,0.126758607252827
"219","F20",1,1.19472647135079,2.82600931677019,4.23209627329191,20.3959596823556,37.4083637244287,57.3774291248999,0.133127102669808
"319","F20",2,0.989341457091005,2.67257763975155,4.16711180124223,17.7492455810697,35.6488261439398,56.5731658569582,0.139495598086789
"419","F20",3,0.783956442831218,2.51914596273292,4.10212732919254,15.1025314797837,33.8892885634509,55.7689025890165,0.145864093503771
"519","F20",4,0.57857142857143,2.36571428571429,4.03714285714285,12.4558173784978,32.129750982962,54.9646393210749,0.152232588920752
"619","F20",5,0.373186414311643,2.21228260869565,3.97215838509316,9.80910327721189,30.3702134024731,54.1603760531332,0.158601084337734
"719","F20",6,0.167801400051856,2.05885093167702,3.90717391304347,7.16238917592597,28.6106758219842,53.3561127851915,0.164969579754715
"819","F20",7,-0.037583614207932,1.90541925465839,3.84218944099378,4.51567507464005,26.8511382414953,52.5518495172498,0.171338075171697
"919","F20",8,-0.242968628467719,1.75198757763975,3.77720496894409,1.86896097335413,25.0916006610063,51.7475862493081,0.177706570588678
"120","F21",0,2.05011148561058,2.61658385093168,5.19993788819875,31.4189624434353,35.0066955382073,69.3556669331528,0.22899314263297
"220","F21",1,1.84472647135079,2.46315217391304,5.13495341614906,28.7722483421494,33.2471579577184,68.5514036652111,0.235361638049952
"320","F21",2,1.639341457091,2.30972049689441,5.06996894409937,26.1255342408635,31.4876203772295,67.7471403972694,0.241730133466933
"420","F21",3,1.43395644283122,2.15628881987578,5.00498447204968,23.4788201395775,29.7280827967406,66.9428771293278,0.248098628883915
"520","F21",4,1.22857142857143,2.00285714285714,4.93999999999999,20.8321060382916,27.9685452162517,66.1386138613861,0.254467124300896
"620","F21",5,1.02318641431164,1.84942546583851,4.87501552795031,18.1853919370057,26.2090076357627,65.3343505934444,0.260835619717878
"720","F21",6,0.817801400051855,1.69599378881988,4.81003105590062,15.5386778357198,24.4494700552738,64.5300873255027,0.267204115134859
"820","F21",7,0.612416385792067,1.54256211180124,4.74504658385093,12.8919637344339,22.6899324747849,63.725824057561,0.273572610551841
"920","F21",8,0.40703137153228,1.38913043478261,4.68006211180124,10.2452496331479,20.930394894296,62.9215607896193,0.279941105968822
"121","F23",0,3.32725434275344,4.57658385093168,5.43136645962732,47.8769889530082,57.4837597583908,72.2198819260807,0.0982408144512661
"221","F23",1,3.12186932849365,4.42315217391304,5.36638198757763,45.2302748517223,55.7242221779019,71.415618658139,0.104609309868247
"321","F23",2,2.91648431423386,4.26972049689441,5.30139751552794,42.5835607504364,53.9646845974129,70.6113553901973,0.110977805285229
"421","F23",3,2.71109929997407,4.11628881987578,5.23641304347825,39.9368466491504,52.205147016924,69.8070921222556,0.11734630070221
"521","F23",4,2.50571428571429,3.96285714285714,5.17142857142856,37.2901325478645,50.4456094364351,69.0028288543139,0.123714796119192
"621","F23",5,2.3003292714545,3.80942546583851,5.10644409937887,34.6434184465786,48.6860718559462,68.1985655863722,0.130083291536173
"721","F23",6,2.09494425719471,3.65599378881988,5.04145962732919,31.9967043452927,46.9265342754573,67.3943023184305,0.136451786953155
"821","F23",7,1.88955924293492,3.50256211180124,4.9764751552795,29.3499902440068,45.1669966949684,66.5900390504888,0.142820282370136
"921","F23",8,1.68417422867514,3.34913043478261,4.91149068322981,26.7032761427208,43.4074591144795,65.7857757825471,0.149188777787118
"122","F24",0,1.39011148561058,3.00372670807453,4.85850931677018,22.91380780426,39.4464072026896,65.1300658016111,0.171224390659476
"222","F24",1,1.18472647135079,2.8502950310559,4.79352484472049,20.2670937029741,37.6868696222007,64.3258025336694,0.177592886076458
"322","F24",2,0.979341457091004,2.69686335403727,4.7285403726708,17.6203796016882,35.9273320417118,63.5215392657277,0.183961381493439
"422","F24",3,0.773956442831216,2.54343167701863,4.66355590062111,14.9736655004023,34.1677944612229,62.717275997786,0.190329876910421
